season_week,season,week,n,k,edr,rank_elim,pct_elim,fanfavor_elim_rank,fanfavor_elim_percentage,rank_hits,pct_hits
23_11,23,11,4,1,0,['Jana Kramer_Gleb Savchenko_23'],['Jana Kramer_Gleb Savchenko_23'],0.0,0.0,1,1
23_2,23,2,13,1,0,['Rick Perry_Emma Slater_23'],['Rick Perry_Emma Slater_23'],0.08333333333333333,0.08333333333333333,0,0
23_3,23,3,12,1,0,['Rick Perry_Emma Slater_23'],['Rick Perry_Emma Slater_23'],-0.09090909090909091,-0.09090909090909091,1,1
23_4,23,4,11,2,0,"['Babyface_Allison Holker_23', 'Vanilla Ice_Witney Carson_23']","['Babyface_Allison Holker_23', 'Vanilla Ice_Witney Carson_23']",-0.09999999999999999,-0.09999999999999999,2,2
23_6,23,6,9,1,0,['Amber Rose_Maksim Chmerkoskiy_23'],['Amber Rose_Maksim Chmerkoskiy_23'],0.125,0.125,1,1
23_7,23,7,8,1,0,['Maureen McCormick_Artem Chigvintsev_23'],['Maureen McCormick_Artem Chigvintsev_23'],-0.2857142857142857,-0.2857142857142857,1,1
23_8,23,8,7,1,0,['Marilu Henner_Derek Hough_23'],['Marilu Henner_Derek Hough_23'],0.0,0.0,0,0
23_9,23,9,6,1,0,['Marilu Henner_Derek Hough_23'],['Marilu Henner_Derek Hough_23'],0.2,0.2,1,1
24_2,24,2,12,1,0,['Chris Kattan_Witney Carson_24'],['Chris Kattan_Witney Carson_24'],-0.09090909090909091,-0.09090909090909091,1,1
24_3,24,3,11,1,0,['Charo_Keo Motsepe_24'],['Charo_Keo Motsepe_24'],-0.1,-0.1,1,1
24_4,24,4,10,1,0,['Mr. T_Kym Herjavec_24'],['Mr. T_Kym Herjavec_24'],0.0,0.0,1,1
24_5,24,5,9,1,0,['Erika Jayne_Gleb Savchenko_24'],['Erika Jayne_Gleb Savchenko_24'],-0.375,-0.375,1,1
24_6,24,6,8,1,1,['Nancy Kerrigan_Artem Chigvintsev_24'],['Heather Morris_Maksim Chmerkoskiy_24'],-0.2857142857142857,-1.0,0,1
24_7,24,7,7,2,0,"['Bonner Bolton_Sharna Burgess_24', 'Nick Viall_Peta Murgatroyd_24']","['Bonner Bolton_Sharna Burgess_24', 'Nick Viall_Peta Murgatroyd_24']",0.0,0.0,1,1
24_8,24,8,5,1,0,['Bonner Bolton_Sharna Burgess_24'],['Bonner Bolton_Sharna Burgess_24'],0.0,0.0,1,1
24_9,24,9,4,1,1,['David Ross_Lindsay Arnold_24'],['Simone Biles_Sasha Farber_24'],1.0,-1.0,0,1
25_10,25,10,4,1,0,['Drew Scott_Emma Slater_25'],['Drew Scott_Emma Slater_25'],0.0,0.0,1,1
25_2,25,2,13,2,1,"['Barbara Corcoran_Keo Motsepe_25', 'Derek Fisher_Sharna Burgess_25']","['Barbara Corcoran_Keo Motsepe_25', 'Debbie Gibson_Alan Bersten_25']",0.04166666666666667,-0.20833333333333334,1,2
25_4,25,4,11,1,0,['Derek Fisher_Sharna Burgess_25'],['Derek Fisher_Sharna Burgess_25'],-0.1,-0.1,1,1
25_6,25,6,9,1,0,['Nick Lachey_Peta Murgatroyd_25'],['Nick Lachey_Peta Murgatroyd_25'],0.125,0.125,1,1
25_7,25,7,8,2,0,"['Nikki Bella_Artem Chigvintsev_25', 'Terrell Owens_Cheryl Burke_25']","['Nikki Bella_Artem Chigvintsev_25', 'Terrell Owens_Cheryl Burke_25']",0.07142857142857142,0.07142857142857142,1,1
25_8,25,8,6,1,1,['Terrell Owens_Cheryl Burke_25'],['Victoria Arlen_Valentin Chmerkovskiy_25'],-0.4,0.0,1,0
25_9,25,9,5,1,0,['Drew Scott_Emma Slater_25'],['Drew Scott_Emma Slater_25'],0.0,0.0,0,0
26_1,26,1,10,2,1,"['Arike Ogunbowale_Gleb Savchenko_26', 'Jamie Anderson_Artem Chigvintsev_26']","['Jamie Anderson_Artem Chigvintsev_26', 'Johnny Damon_Emma Slater_26']",-0.2222222222222222,0.0,1,2
26_2,26,2,8,2,0,"['Arike Ogunbowale_Gleb Savchenko_26', 'Kareem Abdul-Jabbar_Lindsay Arnold_26']","['Arike Ogunbowale_Gleb Savchenko_26', 'Kareem Abdul-Jabbar_Lindsay Arnold_26']",-0.2857142857142857,-0.2857142857142857,2,2
26_3,26,3,6,3,0,"['Chris Mazdzer_Witney Carson_26', 'Jennie Finch Daigle_Keo Motsepe_26', 'Mirai Nagasu_Alan Bersten_26']","['Chris Mazdzer_Witney Carson_26', 'Jennie Finch Daigle_Keo Motsepe_26', 'Mirai Nagasu_Alan Bersten_26']",-0.06666666666666665,-0.06666666666666665,3,3
27_1,27,1,13,1,0,['Nikki Glaser_Gleb Savchenko_27'],['Nikki Glaser_Gleb Savchenko_27'],0.0,0.0,1,1
27_2,27,2,12,1,0,['Danelle Umstead_Artem Chigvintsev_27'],['Danelle Umstead_Artem Chigvintsev_27'],-0.09090909090909091,-0.09090909090909091,1,1
27_3,27,3,11,1,0,['Nancy McKeon_Valentin Chmerkovskiy_27'],['Nancy McKeon_Valentin Chmerkovskiy_27'],-0.2,-0.2,1,1
27_4,27,4,10,1,1,['Juan Pablo Di Pace_Cheryl Burke_27'],['Tinashe_Brandon Armstrong_27'],-0.2222222222222222,-0.7777777777777778,0,1
27_6,27,6,9,1,0,['John Schneider_Emma Slater_27'],['John Schneider_Emma Slater_27'],0.125,0.125,0,0
27_7,27,7,8,2,1,"['DeMarcus Ware_Lindsay Arnold_27', 'Joe Amabile_Jenna Johnson_27']","['DeMarcus Ware_Lindsay Arnold_27', 'John Schneider_Emma Slater_27']",0.21428571428571427,-0.21428571428571427,1,2
27_8,27,8,6,2,1,"['Bobby Bones_Sharna Burgess_27', 'Joe Amabile_Jenna Johnson_27']","['Joe Amabile_Jenna Johnson_27', 'Juan Pablo Di Pace_Cheryl Burke_27']",0.5,-0.5,1,2
28_10,28,10,5,1,0,['James Van Der Beek_Emma Slater_28'],['James Van Der Beek_Emma Slater_28'],0.25,0.25,1,1
28_2,28,2,12,1,0,['Mary Wilson_Brandon Armstrong_28'],['Mary Wilson_Brandon Armstrong_28'],0.0,0.0,1,1
28_4,28,4,10,1,1,['Karamo Brown_Jenna Johnson_28'],['Lamar Odom_Peta Murgatroyd_28'],-0.3333333333333333,0.7777777777777778,0,1
28_6,28,6,9,1,0,['Karamo Brown_Jenna Johnson_28'],['Karamo Brown_Jenna Johnson_28'],-0.125,-0.125,0,0
28_7,28,7,8,1,0,['Karamo Brown_Jenna Johnson_28'],['Karamo Brown_Jenna Johnson_28'],-0.14285714285714285,-0.14285714285714285,1,1
28_8,28,8,7,1,1,['Kel Mitchell_Witney Carson_28'],['Kate Flannery_Pasha Pashkov_28'],-0.5,0.0,0,1
28_9,28,9,6,1,1,['Sean Spicer_Lindsay Arnold_28'],['James Van Der Beek_Emma Slater_28'],0.6,-0.39999999999999997,1,0
29_10,29,10,6,2,0,"['Johnny Weir_Britt Stewart_29', 'Justina Machado_Sasha Farber_29']","['Johnny Weir_Britt Stewart_29', 'Justina Machado_Sasha Farber_29']",-0.19999999999999998,-0.19999999999999998,1,1
29_2,29,2,15,1,1,['Carole Baskin_Pasha Pashkov_29'],['Charles Oakley_Emma Slater_29'],0.07142857142857142,0.3571428571428571,0,1
29_3,29,3,14,1,0,['Carole Baskin_Pasha Pashkov_29'],['Carole Baskin_Pasha Pashkov_29'],0.23076923076923078,0.23076923076923078,1,1
29_4,29,4,13,1,0,['Anne Heche_Keo Motsepe_29'],['Anne Heche_Keo Motsepe_29'],-0.16666666666666669,-0.16666666666666669,1,1
29_5,29,5,12,1,1,['Veron Davis_Peta Murgatroyd_29'],['Chrishell Stause_Gleb Savchenko_29'],-0.18181818181818182,0.09090909090909091,0,0
